,PLAYER,YRS,G,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,BA
 ,tyler naquin,4,89,274,34,79,19,0,10,34,14,66,4,2,.288
 ,ramon laureano,2,123,434,79,125,29,0,24,67,27,123,13,2,.288
61,amed rosario,3,157,616,75,177,30,7,15,72,31,124,19,10,.287
62,shohei ohtani,2,106,384,51,110,20,5,18,62,33,110,12,3,.286
63,cameron maybin,13,82,239,48,68,17,0,11,32,30,72,9,6,.285
 ,nick markakis,14,116,414,61,118,25,2,9,62,47,59,2,0,.285
 ,ryan braun,13,144,459,70,131,31,2,22,75,34,105,11,1,.285
 ,kolten wong,7,148,478,61,136,25,4,11,59,47,83,24,4,.285
 ,marcus semien,7,162,657,123,187,43,7,33,92,87,102,10,8,.285
68,miguel rojas,6,132,483,52,137,29,1,5,46,32,62,9,5,.284
 ,francisco lindor,5,143,598,101,170,40,2,32,74,46,98,22,5,.284
 ,jose abreu,6,159,634,85,180,38,1,33,123,36,152,2,2,.284
71,danny santana,6,130,474,81,134,23,6,28,81,25,151,21,6,.283
72,miguel cabrera,17,137,493,41,139,21,0,12,59,48,108,0,0,.282
 ,avisail garcia,8,125,489,61,138,25,2,20,72,31,125,10,4,.282
 ,kris bryant,5,147,543,108,153,35,1,31,77,74,145,4,0,.282
 ,juan soto,2,150,542,110,153,32,5,34,110,108,132,12,1,.282
76,austin romine,8,72,228,29,64,12,0,8,35,10,50,1,1,.281
 ,carlos santana,10,158,573,110,161,30,1,34,93,108,108,4,0,.281
 ,javier baez,6,138,531,89,149,38,4,29,85,28,156,11,7,.281
 ,garrett cooper,3,107,381,52,107,16,1,15,50,33,110,0,0,.281
80,melky cabrera,15,133,378,43,106,22,1,7,47,17,41,2,0,.280
 ,jean segura,8,144,576,79,161,37,4,12,60,30,73,10,2,.280
 ,ronald acuna jr.,2,156,626,127,175,22,2,41,101,76,188,37,9,.280
83,daniel murphy,11,132,438,56,122,35,1,13,78,32,74,1,1,.279
 ,leury garcia,7,140,577,93,161,27,3,8,40,21,139,15,5,.279
 ,cesar hernandez,7,161,612,77,171,31,3,14,71,45,100,9,2,.279
 ,adam eaton,8,151,566,103,158,25,7,15,49,65,106,15,3,.279
 ,carlos correa,5,75,280,42,78,16,1,21,59,35,75,1,0,.279
 ,hunter dozier,3,139,523,75,146,29,10,26,84,55,148,2,2,.279
89,adam frazier,4,153,554,80,154,33,7,10,50,40,75,5,5,.278
 ,gleyber torres,2,144,546,96,152,26,0,38,90,48,129,5,2,.278
 ,omar narvaez,4,132,428,63,119,12,0,22,55,47,92,0,0,.278
92,josh bell,4,143,527,94,146,37,3,37,116,74,118,0,1,.277
 ,colin moran,4,149,466,46,129,30,1,13,80,30,117,0,1,.277
 ,mike tauchman,3,87,260,46,72,18,1,13,47,34,71,6,0,.277
 ,lourdes gurriel jr.,2,84,314,52,87,19,2,20,50,20,86,6,4,.277
96,christian vazquez,5,138,482,66,133,26,1,23,72,33,101,4,2,.276
 ,eddie rosario,5,137,562,91,155,28,1,32,109,22,86,3,1,.276
 ,harold ramirez,1,119,421,54,116,20,3,11,50,18,91,2,1,.276
 ,jordan luplow,3,85,225,42,62,15,1,15,38,33,61,3,2,.276
100,elvis andrus,11,147,600,81,165,27,4,12,72,34,96,31,8,.275
101,josh reddick,11,141,501,57,138,19,3,14,56,36,66,5,2,.275
 ,dee strange-gordon,9,117,393,36,108,12,6,3,34,18,61,22,5,.275
 ,j.t. realmuto,6,145,538,92,148,36,3,25,83,41,123,9,1,.275
 ,raimel tapia,4,138,426,54,117,23,5,9,44,21,100,9,3,.275
 ,david peralta,6,99,382,48,105,29,3,12,57,35,87,0,0,.275
106,jonathan villar,7,162,642,111,176,33,5,24,73,61,176,40,9,.274
107,tommy pham,6,145,567,77,155,33,2,21,68,81,123,25,4,.273
 ,mark canha,5,127,410,80,112,16,3,26,58,67,107,3,2,.273
 ,james mccann,6,118,439,62,120,26,1,18,60,30,137,4,1,.273
 ,jon berti,2,73,256,52,70,14,1,6,24,24,73,17,3,.273
 ,tom murphy,5,75,260,32,71,12,1,18,40,19,87,2,0,.273
 ,mitch garver,3,93,311,70,85,16,1,31,67,41,87,0,0,.273
113,ehire adrianza,7,83,202,34,55,8,3,5,22,20,40,0,2,.272
 ,willson contreras,4,105,360,57,98,18,2,24,64,38,102,1,2,.272
 ,corey seager,5,134,489,82,133,44,1,19,87,44,98,1,0,.272
 ,aaron judge,4,102,378,75,103,18,1,27,55,64,141,3,2,.272
 ,mike yastrzemski,1,107,371,64,101,22,3,21,55,32,107,2,4,.272
 ,vladimir guerrero jr.,1,123,464,52,126,26,2,15,69,46,91,0,1,.272
